Rank,Country,2023 Population,Yearly Change,Net Change,Density per sqkm,Land Area sqkm,Medium Age,Percent Urban Population,World Share
1,India,1428627663,0.81,11454490,481,2973190,28,36,17.76
2,China,1425671352,-0.02,-215985,152,9388211,39,65,17.72
3,United States,339996563,0.50,1706706,37,9147420,38,83,4.23
4,Indonesia,277534122,0.74,2032783,153,1811570,30,59,3.45
5,Pakistan,240485658,1.98,4660796,312,770880,21,35,2.99
6,Nigeria,223804632,2.41,5263420,246,910770,17,54,2.78
7,Brazil,216422446,0.52,1108948,26,8358140,34,88,2.69
8,Bangladesh,172954319,1.03,1767947,1329,130170,27,41,2.15
9,Russia,144444359,-0.19,-268955,9,16376870,39,75,1.8
10,Mexico,128455567,0.75,951442,66,1943950,30,88,1.6
11,Ethiopia,126527060,2.55,3147136,127,1000000,19,22,1.57
12,Japan,123294513,-0.53,-657179,338,364555,49,94,1.53
13,Philippines,117337368,1.54,1778359,394,298170,25,47,1.46
14,Egypt,112716598,1.56,1726495,113,995450,24,41,1.4
15,DR Congo,102262808,3.29,3252596,45,2267050,16,46,1.27
16,Vietnam,98858950,0.68,672094,319,310070,33,40,1.23
17,Iran,89172767,0.70,622197,55,1628550,33,74,1.11
18,Turkey,85816199,0.56,474958,112,769630,32,77,1.07
19,Germany,83294633,-0.09,-75210,239,348560,45,77,1.04
20,Thailand,71801279,0.15,104249,141,510890,40,52,0.89
21,United Kingdom,67736802,0.34,227866,280,241930,40,85,0.84
22,Tanzania,67438106,2.96,1940358,76,885800,17,38,0.84
23,France,64756584,0.20,129956,118,547557,42,84,0.8
24,South Africa,60414495,0.87,520610,50,1213090,28,69,0.75
25,Italy,58870762,-0.28,-166712,200,294140,48,72,0.73
26,Kenya,55100586,1.99,1073099,97,569140,20,31,0.68
27,Myanmar,54577997,0.74,398691,84,653290,30,33,0.68
28,Colombia,52085168,0.41,211144,47,1109500,32,81,0.65
29,South Korea,51784059,-0.06,-31751,533,97230,44,82,0.64
30,Uganda,48582334,2.82,1332749,243,199810,16,29,0.6
31,Sudan,48109006,2.63,1234802,27,1765048,19,35,0.6
32,Spain,47519628,-0.08,-39002,95,498800,45,80,0.59
33,Argentina,45773884,0.58,263566,17,2736690,32,94,0.57
34,Algeria,45606480,1.57,703255,19,2381740,28,75,0.57
35,Iraq,45504560,2.27,1008438,105,434320,20,71,0.57
36,Afghanistan,42239854,2.70,1111083,65,652860,17,26,0.53
37,Poland,41026067,2.93,1168922,134,306230,40,55,0.51
38,Canada,38781291,0.85,326964,4,9093510,41,81,0.48
39,Morocco,37840044,1.02,382073,85,446300,29,66,0.47
40,Saudi Arabia,36947025,1.48,538205,17,2149690,31,83,0.46
41,Ukraine,36744634,-7.45,-2957105,63,579320,45,82,0.46
42,Angola,36684202,3.08,1095215,29,1246700,16,68,0.46
43,Uzbekistan,35163944,1.55,536292,83,425400,27,49,0.44
44,Yemen,34449825,2.24,753211,65,527970,19,37,0.43
45,Peru,34352719,0.89,303131,27,1280000,29,79,0.43
46,Malaysia,34308525,1.09,370304,104,328550,31,78,0.43
47,Ghana,34121985,1.93,646115,150,227540,21,57,0.42
48,Mozambique,33897354,2.81,927836,43,786380,17,40,0.42
49,Nepal,30896590,1.14,349010,216,143350,24,22,0.38
50,Madagascar,30325732,2.41,714018,52,581795,19,40,0.38
