Rank,Country,2023 Population,Yearly Change,Net Change,Density per sqkm,Land Area sqkm,Medium Age,Percent Urban Population,World Share
11,Ethiopia,126527060,2.55,3147136,127,1000000,19,22,1.57
12,Japan,123294513,-0.53,-657179,338,364555,49,94,1.53
13,Philippines,117337368,1.54,1778359,394,298170,25,47,1.46
14,Egypt,112716598,1.56,1726495,113,995450,24,41,1.4
15,DR Congo,102262808,3.29,3252596,45,2267050,16,46,1.27
16,Vietnam,98858950,0.68,672094,319,310070,33,40,1.23
17,Iran,89172767,0.70,622197,55,1628550,33,74,1.11
18,Turkey,85816199,0.56,474958,112,769630,32,77,1.07
19,Germany,83294633,-0.09,-75210,239,348560,45,77,1.04
20,Thailand,71801279,0.15,104249,141,510890,40,52,0.89
